param,interceptPRD,Age,interceptLLN,R2,sex,ethnicity
FEV1FEV6,87.34,-0.1382,78.372,0.2151,1,1
FEV1FVC,88.066,-0.2066,78.388,0.3448,1,1
FEV1FEV6,88.841,-0.1305,78.979,0.0937,1,2
FEV1FVC,89.239,-0.1828,78.822,0.1538,1,2
FEV1FEV6,89.388,-0.1534,80.81,0.1711,1,3
FEV1FVC,90.024,-0.2186,80.925,0.2713,1,3
FEV1FEV6,90.107,-0.1563,81.307,0.3048,2,1
FEV1FVC,90.809,-0.2125,81.015,0.3955,2,1
FEV1FEV6,91.229,-0.1558,81.396,0.1693,2,2
FEV1FVC,91.655,-0.2039,80.978,0.2284,2,2
FEV1FEV6,91.664,-0.167,83.034,0.2449,2,3
FEV1FVC,92.36,-0.2248,83.044,0.3352,2,3
